,Date,Tweet,User,Location,tweet,time,weekday,Hour,Minute,translated_tweet,tweet_without_stopwords
0,2022-02-16,"b'@oliver_sge @Martin87325975 @Claudia77383293 @OisTschikago Du Clown, dann erkl\xc3\xa4r mal, ok. Bei dir hei\xc3\x9ft erkl\xc3\xa4ren, nachplappern.'",b'SaschaLakic',b'',"    Du Clown, dann erklär mal, ok. Bei dir heißt erklären, nachplappern.",2022-02-16 20:55:37+00:00,2,20,55,"You clown, then explain, ok. With you, explaining means parroting.","You clown, explain, ok. With you, explaining means parroting."
1,2022-02-16,b'@SaschaLakic @Martin87325975 @Claudia77383293 @OisTschikago Sascha wei\xc3\x9f mehr. \xf0\x9f\xa4\xa1',b'oliver_sge',b'',    Sascha weiß mehr. 🤡,2022-02-16 20:54:46+00:00,2,20,54,Sasha knows more. 🤡,Sasha knows more. 🤡
2,2022-02-16,b'@lukaasxn33 Endlich mal ein W',b'sge_paul',b'069', Endlich mal ein W,2022-02-16 20:52:29+00:00,2,20,52,Finally a W,Finally W
3,2022-02-16,b'@Chris_76_SGE @BeateEi Es f\xc3\xbchlt sich alles so gleichm\xc3\xa4\xc3\x9fig an \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f',b'sge_bini',b'Rhein-Main-Gebiet',  Es fühlt sich alles so gleichmäßig an 🤷🏼‍♀️,2022-02-16 20:50:01+00:00,2,20,50,It all feels so even 🤷🏼‍♀️,It feels even 🤷🏼‍♀️
4,2022-02-16,b'@BeateEi Ich werde berichten \xf0\x9f\x98\x8e',b'sge_bini',b'Rhein-Main-Gebiet', Ich werde berichten 😎,2022-02-16 20:49:27+00:00,2,20,49,I will report 😎,I report 😎
5,2022-02-16,b'@SGE_Lukas @LeroySane10SZN @roberazziszn SGE LUKAS lutscht bei bayern erfolgsfan f\xc3\xbcr original 15 min https://t.co/FOalJgsLcf',b'ElyasJD9',b'069',   SGE LUKAS lutscht bei bayern erfolgsfan für original 15 min ,2022-02-16 20:45:53+00:00,2,20,45,SBU LUKAS sucks at bayern success fan for original 15 min,SBU LUKAS sucks bayern success fan original 15 min
6,2022-02-16,"b'@SGE_Lukas okay das ist geil, seit wann aber?'",b'ichliebemantu',b'786'," okay das ist geil, seit wann aber?",2022-02-16 20:42:36+00:00,2,20,42,"okay that's cool, but since when?","okay that's cool, since when?"
7,2022-02-16,b'@LeroySane10SZN @roberazziszn @SGE_Lukas LeroySaneBayernSZN geht auf meine Mutter https://t.co/KTLRKsTBLk',b'ElyasJD9',b'069',   LeroySaneBayernSZN geht auf meine Mutter ,2022-02-16 20:42:25+00:00,2,20,42,LeroySaneBayernSZN goes to my mother,LeroySaneBayernSZN goes mother
8,2022-02-16,b'@LeroySane10SZN @roberazziszn @SGE_Lukas ok halt mal dein Maul jetzt dein club verliert grad',b'ElyasJD9',b'069',   ok halt mal dein Maul jetzt dein club verliert grad,2022-02-16 20:41:23+00:00,2,20,41,ok shut your mouth now your club is losing,ok shut mouth club losing
9,2022-02-16,b'@LeroySane10SZN @SGE_Lukas @ElyasJD9 Hab in beiden gewohnt Bruder und ich kann\xe2\x80\x99s dir sagen',b'roberazziszn',b'',   Hab in beiden gewohnt Bruder und ich kann’s dir sagen,2022-02-16 20:41:23+00:00,2,20,41,Lived in both brother and I can tell you,Lived brother I tell
10,2022-02-16,b'@sge_bini @BeateEi Die Zeit verfliegt halt... \xf0\x9f\xa4\xb7\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f',b'Chris_76_SGE',"b'Waldshut-Tiengen, Deutschland'",  Die Zeit verfliegt halt... 🤷‍♂️,2022-02-16 20:41:11+00:00,2,20,41,Time just flies... 🤷‍♂️,Time flies... 🤷‍♂️
11,2022-02-16,b'@sge_paul @elonmuskssohn Keine Ahnung wie man des schreibt halt halt verb von Cancel',b'notbensonn',b'nicht bei Crush \xf0\x9f\x9a\xac',  Keine Ahnung wie man des schreibt halt halt verb von Cancel,2022-02-16 20:39:48+00:00,2,20,39,I have no idea how to write the halt halt verb of Cancel,I idea write halt halt verb Cancel
12,2022-02-16,"b'@LeroySane10SZN @SGE_Lukas @ElyasJD9 hahahaha ist es nichtmal pro kopf, aber kopf hoch'",b'roberazziszn',b'',"   hahahaha ist es nichtmal pro kopf, aber kopf hoch",2022-02-16 20:39:46+00:00,2,20,39,"hahahaha it's not even per capita, but cheer up","hahahaha even per capita, cheer"
13,2022-02-16,b'@LeroySane10SZN @roberazziszn @SGE_Lukas Wann war bayern noch nicht voller Erfolgsfans z.b du',b'ElyasJD9',b'069',   Wann war bayern noch nicht voller Erfolgsfans z.b du,2022-02-16 20:39:17+00:00,2,20,39,When was bayern not full of successful fans e.g. you,When bayern full successful fans e.g.
14,2022-02-16,"b'@sge_phil Nein. Einfach nein. Ich will das nicht, also wird das auch nicht passieren'",b'lelekawaii3103',b'He/They/She'," Nein. Einfach nein. Ich will das nicht, also wird das auch nicht passieren",2022-02-16 20:37:57+00:00,2,20,37,"No. Just no. I don't want that, so it won't happen","No. Just no. I want that, happen"
15,2022-02-16,b'@LeroySane10SZN @SGE_Lukas @ElyasJD9 wann hat Frankfurt letzte mal den Schwanz vom katarischen Scheich in den Mund genommen?',b'roberazziszn',b'',   wann hat Frankfurt letzte mal den Schwanz vom katarischen Scheich in den Mund genommen?,2022-02-16 20:37:45+00:00,2,20,37,When was the last time Frankfurt put the cock of the Qatari sheikh in its mouth?,When last time Frankfurt put cock Qatari sheikh mouth?
16,2022-02-16,b'@LeroySane10SZN @SGE_Lukas @roberazziszn warum weichst du die ganze Zeit vom Thema ab nur um \xc3\xbcber die cl zu reden?',b'ElyasJD9',b'069',   warum weichst du die ganze Zeit vom Thema ab nur um über die cl zu reden?,2022-02-16 20:37:18+00:00,2,20,37,why are you going off topic all the time just to talk about the cl?,going topic time talk cl?
17,2022-02-16,b'@notbensonn @elonmuskssohn Channceln',b'sge_paul',b'069',  Channceln,2022-02-16 20:36:37+00:00,2,20,36,chance,chance
18,2022-02-16,b'Wir werden Bayerns Aufbau Gegner sein \xf0\x9f\x98\xad',b'sge_phil',b'Your moms house',Wir werden Bayerns Aufbau Gegner sein 😭,2022-02-16 20:36:36+00:00,2,20,36,We will be Bayern's construction opponents 😭,We Bayern's construction opponents 😭
19,2022-02-16,b'@sge_paul @elonmuskssohn Man sollte mich channceln',b'notbensonn',b'nicht bei Crush \xf0\x9f\x9a\xac',  Man sollte mich channceln,2022-02-16 20:36:15+00:00,2,20,36,I should be channeled,I channeled
