,Date,Tweet,User,Location,tweet,time,weekday,Hour,Minute,translated_tweet,tweet_without_stopwords
0,2023-02-08,"b'@EduardoSGE @sge_ge habe, die meinen Magen/Darm und Geb\xc3\xa4rmutter beeinflusst und zu starken Schmerzen f\xc3\xbchrt. Ich kan\xe2\x80\xa6 https://t.co/csIRj7fuAA'",Anna_scxl,"b'Manchmal Hessen, oft Hannover'","  habe, die meinen Magen/Darm und Gebärmutter beeinflusst und zu starken Schmerzen führt. Ich kan… ",2023-02-08 19:21:35+00:00,2,19,21,which affects my stomach/intestines and uterus and leads to severe pain. I can...,affects stomach/intestines uterus leads severe pain. I can...
1,2023-02-08,b'Eintracht hat das Derby gewonnen und die Stadt ist heute ein bisschen bunter als gew\xc3\xb6hnlich \xf0\x9f\xa4\x8d\xf0\x9f\x96\xa4\xe2\x9d\xa4\xef\xb8\x8f #SGE #DerbySieger #Frankfurt',SGEagle,"b'Nordrhein-Westfalen, Deutschla'",Eintracht hat das Derby gewonnen und die Stadt ist heute ein bisschen bunter als gewöhnlich 🤍🖤❤️ SGE DerbySieger Frankfurt,2023-02-08 19:21:12+00:00,2,19,21,Eintracht won the derby and the city is a little more colorful than usual today 🤍🖤❤️ SGE DerbySieger Frankfurt,Eintracht derby city little colorful usual today 🤍🖤❤️ SGE DerbySieger Frankfurt
2,2023-02-08,b'@iamdardann @lysander_sge 40er war echt brutal voll. Deswegen bin ich in 42er rechts an Zaun. Da biste quasi schon\xe2\x80\xa6 https://t.co/vr47pHJaH1',sge_94,b'',  40er war echt brutal voll. Deswegen bin ich in 42er rechts an Zaun. Da biste quasi schon… ,2023-02-08 19:20:38+00:00,2,19,20,40s was really brutally full. That's why I'm in 42 on the right side of the fence. You're almost there...,40s really brutally full. That's I'm 42 right side fence. You're almost there...
3,2023-02-08,"b'@EduardoSGE @sge_ge Ach das soll diese Sorge sein? \n\nWenn du dich wirklich sorgen w\xc3\xbcrdest, h\xc3\xa4ttest du eher gefragt\xe2\x80\xa6 https://t.co/ikx8xttS3K'",Anna_scxl,"b'Manchmal Hessen, oft Hannover'","  Ach das soll diese Sorge sein? 

Wenn du dich wirklich sorgen würdest, hättest du eher gefragt… ",2023-02-08 19:20:24+00:00,2,19,20,"Oh that should be this worry?

If you really cared, you would have asked sooner...","Oh worry? If really cared, would asked sooner..."
4,2023-02-08,"b'R.I.P. Friedel Lutz, hier 3/2018 mit Dieter Stinka und Matze Thoma im #Eintracht Museum #SGE Deutscher Meister 1959 https://t.co/Z8SOl0xTue'",fisPeppi,b'Frankfurt a.M.',"R.I.P. Friedel Lutz, hier 3/2018 mit Dieter Stinka und Matze Thoma im Eintracht Museum SGE Deutscher Meister 1959 ",2023-02-08 19:19:38+00:00,2,19,19,"R.I.P. Friedel Lutz, here 3/2018 with Dieter Stinka and Matze Thoma in the Eintracht Museum SBU German Champion 1959","R.I.P. Friedel Lutz, 3/2018 Dieter Stinka Matze Thoma Eintracht Museum SBU German Champion 1959"
5,2023-02-08,b'Bleibt Ansgar #Knauf noch bei @Eintracht oder geht er zur\xc3\xbcck zu @BVB ?\nErfahre hier mehr\xf0\x9f\x91\x89 https://t.co/l13k8zCaIh\xe2\x80\xa6 https://t.co/f2pdr24ReK',wetten_com,b'Deutschland',"Bleibt Ansgar Knauf noch bei  oder geht er zurück zu  ?
Erfahre hier mehr👉  ",2023-02-08 19:19:29+00:00,2,19,19,"Is Ansgar Knauf staying with us or is he going back to ?
Find out more here👉",Is Ansgar Knauf staying us going back ? Find here👉
6,2023-02-08,b'@Anna_scxl @sge_ge Ja dann tu was dagegen oder du stirbst halt fr\xc3\xbcher',EduardoSGE,b'Im Herzen Von Europa ',  Ja dann tu was dagegen oder du stirbst halt früher,2023-02-08 19:18:33+00:00,2,19,18,"Yes, then do something about it or you'll just die earlier","Yes, something die earlier"
7,2023-02-08,b'@EduardoSGE @sge_ge Es geht darum dass es offensichtlich ist und sich jeder dar\xc3\xbcber bewusst ist',Anna_scxl,"b'Manchmal Hessen, oft Hannover'",  Es geht darum dass es offensichtlich ist und sich jeder darüber bewusst ist,2023-02-08 19:18:01+00:00,2,19,18,It's about it being obvious and everyone being aware of it,It's obvious everyone aware
8,2023-02-08,"b'@EduardoSGE @sge_ge Es ist offensichtlich dass Mehrgewicht Krankheiten etc f\xc3\xb6rdert und hervorruft, auch Mehrgewicht\xe2\x80\xa6 https://t.co/hu7Hl3F2w5'",Anna_scxl,"b'Manchmal Hessen, oft Hannover'","  Es ist offensichtlich dass Mehrgewicht Krankheiten etc fördert und hervorruft, auch Mehrgewicht… ",2023-02-08 19:17:38+00:00,2,19,17,"It is obvious that excess weight promotes and causes diseases etc, also excess weight...","It obvious excess weight promotes causes diseases etc, also excess weight..."
9,2023-02-08,b'@lysander_sge @sge_94 wird stetig auch untereinander mehr Stress im Block kann man locker beobachten',iamdardann,b'Munich ',  wird stetig auch untereinander mehr Stress im Block kann man locker beobachten,2023-02-08 19:17:33+00:00,2,19,17,you can easily observe that there is always more stress among each other in the block,easily observe always stress among block
10,2023-02-08,b'@DrAndreasS Davon ist leider auszugehen\xe2\x80\xa6',Netti_SGE,b'', Davon ist leider auszugehen…,2023-02-08 19:17:19+00:00,2,19,17,"Unfortunately, that's to be expected...","Unfortunately, that's expected..."
11,2023-02-08,b'@Anna_scxl @sge_ge Du Armleuchtet es geht darum das es gesundheitssch\xc3\xa4digend ist was sindn das f\xc3\xbcr beschissene beispiele',EduardoSGE,b'Im Herzen Von Europa ',  Du Armleuchtet es geht darum das es gesundheitsschädigend ist was sindn das für beschissene beispiele,2023-02-08 19:17:07+00:00,2,19,17,"You arm lights, it's about it being harmful to your health, what are those shitty examples","You arm lights, harmful health, shitty examples"
12,2023-02-08,b'@Netti_SGE Scheinen auf nem guten Weg \xe2\x80\xa6 drei mal auf meinen Holzkopf geklopft.',hangithigher365,"b'Frankfurt am Main, Deutschland'", Scheinen auf nem guten Weg … drei mal auf meinen Holzkopf geklopft.,2023-02-08 19:16:48+00:00,2,19,16,Seems to be on the right track... tapped my wooden head three times.,Seems right track... tapped wooden head three times.
13,2023-02-08,b'@EduardoSGE @sge_ge Sagst du nem Typen mit gebrochenem Bein \xe2\x80\x9eDu weisst aber dass du damit nicht auftreten darfst?\xe2\x80\x9c\xe2\x80\xa6 https://t.co/NBejKnRZ3d',Anna_scxl,"b'Manchmal Hessen, oft Hannover'",  Sagst du nem Typen mit gebrochenem Bein „Du weisst aber dass du damit nicht auftreten darfst?“… ,2023-02-08 19:16:22+00:00,2,19,16,"Do you tell a guy with a broken leg, ""You know you can't perform with it?""...","Do tell guy broken leg, ""You know can't perform it?""..."
14,2023-02-08,b'@iamdardann @sge_94 Das sind eh die besten die sich auff\xc3\xbchren als w\xc3\xa4ren sie der Mittelpunkt der Welt',lysander_sge,b'',  Das sind eh die besten die sich aufführen als wären sie der Mittelpunkt der Welt,2023-02-08 19:15:16+00:00,2,19,15,"They're the best anyway, acting like they're the center of the world","They're best anyway, acting like they're center world"
15,2023-02-08,b'@lysander_sge @sge_94 gute Frage wo sind die ausw\xc3\xa4rts wenn man so ein Ego hat wie manche',iamdardann,b'Munich ',  gute Frage wo sind die auswärts wenn man so ein Ego hat wie manche,2023-02-08 19:14:04+00:00,2,19,14,good question where are they abroad if you have the ego like some,good question abroad ego like
16,2023-02-08,b'@Anna_scxl @sge_ge Ach digga ihr seid alle so verblendet\nIhr verk\xc3\xb6rpert exakt das Problem der Gesellschaft',EduardoSGE,b'Im Herzen Von Europa ',"  Ach digga ihr seid alle so verblendet
Ihr verkörpert exakt das Problem der Gesellschaft",2023-02-08 19:12:33+00:00,2,19,12,"Oh digga you are all so blinded
You embody the very problem of society",Oh digga blinded You embody problem society
17,2023-02-08,"b'@DonMai79 @SGE_Papa @devilffm Deshalb sind auch ""wei\xc3\x9ft Du noch...?"" Fragen so schlimm. Sie erinnern sich nicht, wis\xe2\x80\xa6 https://t.co/eiVvFwmWfY'",taunusabbel,"b'Frankfurt am Main, Deutschland'","   Deshalb sind auch ""weißt Du noch...?"" Fragen so schlimm. Sie erinnern sich nicht, wis… ",2023-02-08 19:11:59+00:00,2,19,11,"That's why ""do you remember...?"" questions so bad. You don't remember, wis...","That's ""do remember...?"" questions bad. You remember, wis..."
18,2023-02-08,"b'@EduardoSGE @sge_ge Stimmt, weil mehrgewichtige Menschen sind dumm und m\xc3\xbcssen wie Kleinkinder behandelt werden.'",Anna_scxl,"b'Manchmal Hessen, oft Hannover'","  Stimmt, weil mehrgewichtige Menschen sind dumm und müssen wie Kleinkinder behandelt werden.",2023-02-08 19:11:43+00:00,2,19,11,"True, because overweight people are dumb and need to be treated like toddlers.","True, overweight people dumb need treated like toddlers."
